Sample in Buffer,Sample in Window,TRIGGER,sample_data[7:0],wr_en,wr_addr[10:0],wr_data[7:0],capturing,triggered,capture_done,trigger_index[10:0],trigger_enable_state,trigger_mode_sel[1:0],config_channel_idx[2:0],btn_trigger_pulse,btn_channel_pulse,btn_type_pulse,btn_mode_pulse,curr_trig_cfg_ext[7:0],p_0_in,sw_test_pattern_IBUF[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX
179,179,0,10101100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
180,180,0,10101101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
181,181,0,10101110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
182,182,0,10101111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
183,183,0,10110000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
184,184,0,10110001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
185,185,0,10110010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
186,186,0,10110011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
187,187,0,10110100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
188,188,0,10110101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
189,189,0,10110110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
190,190,0,10110111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
191,191,0,10111000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
192,192,0,10111001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
193,193,0,10111010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
194,194,0,10111011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
195,195,0,10111100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
196,196,0,10111101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
197,197,0,10111110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
198,198,0,10111111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
199,199,0,11000000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
200,200,0,11000001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
201,201,0,11000010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
202,202,0,11000011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
203,203,0,11000100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
204,204,0,11000101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
205,205,0,11000110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
206,206,0,11000111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
207,207,0,11001000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
208,208,0,11001001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
209,209,0,11001010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
210,210,0,11001011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
211,211,0,11001100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
212,212,0,11001101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
213,213,0,11001110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
214,214,0,11001111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
215,215,0,11010000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
